comment_link,product_name,category,complaint_title,dominant_topic,detected_department,detected_fault_type,rule_resolution_status,rule_satisfaction_score
https://www.sikayetvar.com/beko/ic-haznedeki-paslanma-sorunu-tekrarlayan-beko-firin-icin-degisim-istegi,BFC 631,Ankastre Fırın,İç Haznedeki Paslanma Sorunu TekrarlayanBekoFırın İçin Değişim İsteği,0,Teknik Servis,Belirsiz,Müşteri Dönüşü Yok,4
https://www.sikayetvar.com/beko/beko-magazasi-buyuk-ocagi-geri-almayi-reddetti-kucuk-ocaga-ek-ucret-istiyor,BFC 631,Ocak,"BekoMağazası Büyük Ocağı Geri Almayı Reddetti, Küçük Ocağa Ek Ücret İstiyor",4,Çağrı Merkezi,Belirsiz,Müşteri Dönüşü Yok,4
https://www.sikayetvar.com/beko/beko-fitfry-firinin-yanik-lekeleri-temizlenmiyor,BFC 631,Fırın,BekoFitfry Fırının Yanık Lekeleri Temizlenmiyor,0,Garanti,Belirsiz,Müşteri Dönüşü Yok,4
https://www.sikayetvar.com/beko/teslim-edilmeyen-urunler-ve-cevapsiz-telefon-aramalari,BFC 631,Ankastre Fırın,Teslim Edilmeyen Ürünler Ve Cevapsız Telefon Aramaları,2,Çağrı Merkezi,Belirsiz,Müşteri Dönüşü Yok,4
https://www.sikayetvar.com/beko/beko-ankastre-firinda-ozellik-eksikligi-ve-pisirme-sorunlari,BFC 631,Ankastre Fırın,BekoAnkastre Fırında Özellik Eksikliği Ve Pişirme Sorunları,0,Teknik Servis,Belirsiz,Belirsiz,4
https://www.sikayetvar.com/beko/beko-ankastre-firinda-tek-tarafli-kabarma-sorunu-ve-servis-hasari,BFC 631,Ankastre Fırın,BekoAnkastre Fırında Tek Taraflı Kabarma Sorunu Ve Servis Hasarı,0,İade / Değişim,Belirsiz,Çözülmedi,1
https://www.sikayetvar.com/beko/beko-urun-hayal-kirikligi-yasatti,BFC 631,Ankastre Ocak,BekoÜrün Hayal Kırıklığı Yaşattı,0,Teknik Servis,Belirsiz,Çözülmedi,1
https://www.sikayetvar.com/beko/yuksek-bedelle-alinan-beko-firinda-surekli-saat-arizasi-ve-hayal-kirikligi,BFC 631,Fırın,Yüksek Bedelle AlınanBekoFırında Sürekli Saat Arızası Ve Hayal Kırıklığı!,0,Teknik Servis,Belirsiz,Müşteri Dönüşü Yok,4
https://www.sikayetvar.com/beko/bir-aydir-teslim-edilmeyen-urunler-ve-iletisim-sorunlari-magduriyet-yaratiyor,BFC 631,Televizyon,Bir Aydır Teslim Edilmeyen Ürünler Ve İletişim Sorunları Mağduriyet Yaratıyor,2,Lojistik,Belirsiz,Belirsiz,4
https://www.sikayetvar.com/beko/garanti-kapsamindaki-beko-cam-ocak-dugmesi-kirildi-ucretsiz-tamir-talebi,BFC 631,Ankastre Ocak,"Garanti KapsamındakiBekoCam Ocak Düğmesi Kırıldı, Ücretsiz Tamir Talebi",0,Teknik Servis,Belirsiz,Çözüldü,5
