product_name,complaint_count
300 TR Temassız,410
CM 10120,350
31825 Ekolojik,277
18325 Ekolojik,242
CM 9101,231
31225 Ekolojik,193
KMX 90,184
X30 TR,179
BM 4044,164
CMXD 9100,161
31826 Ekolojik,156
CMX 10120,150
CM 11140,144
220 TR,142
31225 A,141
32425 Ekolojik,116
BM 4144,115
31226 Ekolojik,103
KM 90,102
670531 E,101
31525 Ekolojik,100
KMX 1000,99
BFC 430,83
BM 3043,81
683721 EI,81
BFC 631,77
683721 EB,77
30925 Ekolojik,75
RS 8034 HM,71
TKM 8961,68
30725 A Ekolojik,67
PowerClean Pro SD 8161,65
BM 6047,63
BM 4004,61
BDE 6062,61
7070 MB,61
21220 P,58
BOCD T 6510 E,57
AC 7030,57
CM 9120,56
BK 9101 EY,55
CEG 7348 X CaffeExperto,54
B50 A 860 B,54
BM 5045,51
CMXD 9120,51
BK 9101 EYS,50
B49L 8900 5A,50
PowerClean 2.0 VRT 86325 VI,49
683720,46
CEG 7304 X CaffeExperto,45
31525 S,45
Powerclean SD 8041,45
CFM 8147,44
BM 4014,43
32426 Ekolojik,43
684630 E,41
KM 80,41
D1 4001,40
CM 8058 I Dem,39
SD 5141,39
683720 EI,37
970475,37
7071 MB,37
BFE 400,37
AC 6030,37
B50 D 790 B,36
BKK 2300,36
BM 3003,35
670530 E,35
51205,35
Smart Logic 24,35
BSS 4600,35
BSS 4601,35
CM 5964 Floral,34
KM 99 B,34
BFC 220 HB,33
670427 M,33
WD 964 YK,33
B55 D 790 B,33
AFBD 14300,32
Robo-X 2.0 RS 8121,32
Robo-X 3.0 RS 8131,32
674580 EI,31
KMB 900 I,31
KM 94 B,31
KM 1010,31
B50 B 880 B,31
CM 9102,30
974561 EB,29
674581 E,29
B55L 8900 5A,29
970463 MB,28
CM 9100,28
B50 C 890 A,28
Keyf TKM 8961,28
978557 EB,27
678551 E,27
CMX 12140,27
CM 10140,27
BEU 8030,27
9630 KEX,26
670514 MB,26
BK 10122 D,26
9395 Inverter,26
30725 Ekolojik,26
Robo-X RS 2121,26
Robo-X RS 2221,26
1000 TR Yeni Nesil,26
KMX 80,25
674532 MB,24
983629 EB,24
BOCL T 6510 EB,24
SD 2061,24
BM 6046,23
970474 MB,23
BK 10121 D,23
BK 9121 PR,23
