product_name,complaint_count,avg_satisfaction,legal_risk_count,avg_view_count,avg_support_count
300 TR Temassız,410,3.5585365853658537,27,2232.8341463414636,0.10975609756097561
CM 10120,350,3.64,72,2781.962857142857,0.11714285714285715
31825 Ekolojik,277,3.6895306859205776,39,1733.7942238267149,0.19133574007220217
18325 Ekolojik,242,3.6942148760330578,29,1046.8719008264463,0.07851239669421488
CM 9101,231,3.727272727272727,49,1857.4848484848485,0.16017316017316016
31225 Ekolojik,193,3.6424870466321244,26,1491.7098445595855,0.12953367875647667
KMX 90,184,3.8206521739130435,27,3436.0271739130435,0.1358695652173913
X30 TR,179,3.653631284916201,12,2266.016759776536,0.1564245810055866
BM 4044,164,3.567073170731707,32,2380.5731707317073,0.16463414634146342
CMXD 9100,161,3.4161490683229814,40,2345.813664596273,0.11801242236024845
31826 Ekolojik,156,3.4871794871794872,21,1595.3525641025642,0.19230769230769232
CMX 10120,150,3.566666666666667,34,2441.286666666667,0.22666666666666666
CM 11140,144,3.8402777777777777,34,2975.9583333333335,0.2916666666666667
220 TR,142,3.6690140845070425,6,2941.0915492957747,0.20422535211267606
31225 A,141,3.7588652482269502,26,1126.659574468085,0.0851063829787234
32425 Ekolojik,116,3.6724137931034484,26,1357.7931034482758,0.11206896551724138
BM 4144,115,3.8260869565217392,22,3775.8347826086956,0.19130434782608696
31226 Ekolojik,103,3.7475728155339807,7,1875.9320388349515,0.08737864077669903
KM 90,102,3.892156862745098,9,3641.598039215686,0.17647058823529413
670531 E,101,3.792079207920792,17,1530.6237623762377,0.22772277227722773
31525 Ekolojik,100,3.6,19,1930.13,0.19
KMX 1000,99,3.6161616161616164,14,3468.818181818182,0.23232323232323232
BFC 430,83,3.7228915662650603,11,2971.7710843373493,0.13253012048192772
683721 EI,81,3.654320987654321,17,1665.2592592592594,0.20987654320987653
BM 3043,81,3.7160493827160495,15,2675.074074074074,0.12345679012345678
BFC 631,77,3.9740259740259742,9,3010.4025974025976,0.19480519480519481
683721 EB,77,3.8181818181818183,15,1351.987012987013,0.2727272727272727
30925 Ekolojik,75,3.6,10,1005.1066666666667,0.12
RS 8034 HM,71,3.887323943661972,8,2440.549295774648,0.15492957746478872
TKM 8961,68,3.5294117647058822,10,2026.2205882352941,0.07352941176470588
30725 A Ekolojik,67,3.91044776119403,8,1066.7611940298507,0.08955223880597014
PowerClean Pro SD 8161,65,3.6615384615384614,8,2824.753846153846,0.07692307692307693
BM 6047,63,3.8253968253968256,15,3135.3492063492063,0.23809523809523808
BDE 6062,61,4.098360655737705,7,1684.295081967213,0.09836065573770492
BM 4004,61,3.737704918032787,2,3989.1803278688526,0.14754098360655737
7070 MB,61,3.918032786885246,5,2153.1475409836066,0.2786885245901639
21220 P,58,3.4827586206896552,11,3013.0,0.25862068965517243
BOCD T 6510 E,57,4.0701754385964914,9,1653.1754385964912,0.15789473684210525
AC 7030,57,3.56140350877193,14,4223.701754385965,0.3684210526315789
CM 9120,56,3.767857142857143,15,3323.785714285714,0.17857142857142858
BK 9101 EY,55,3.618181818181818,7,1767.581818181818,0.07272727272727272
B50 A 860 B,54,3.7037037037037037,11,2100.314814814815,0.018518518518518517
CEG 7348 X CaffeExperto,54,3.7222222222222223,6,2833.6481481481483,0.07407407407407407
CMXD 9120,51,3.7058823529411766,19,2103.627450980392,0.23529411764705882
BM 5045,51,3.8627450980392157,11,3192.0392156862745,0.0784313725490196
BK 9101 EYS,50,3.72,8,1910.4,0.06
B49L 8900 5A,50,3.86,3,2055.46,0.38
PowerClean 2.0 VRT 86325 VI,49,3.795918367346939,9,2582.877551020408,0.04081632653061224
683720,46,3.6739130434782608,10,918.7826086956521,0.2391304347826087
CEG 7304 X CaffeExperto,45,3.7555555555555555,7,3412.222222222222,0.1111111111111111
Powerclean SD 8041,45,3.3777777777777778,11,2523.133333333333,0.06666666666666667
31525 S,45,3.5555555555555554,8,1012.0,0.044444444444444446
CFM 8147,44,3.772727272727273,4,1828.9772727272727,0.18181818181818182
BM 4014,43,3.9069767441860463,4,3117.9767441860463,0.06976744186046512
32426 Ekolojik,43,3.558139534883721,7,1513.8837209302326,0.0
