topic_id,top_words
0,"ediyorum, talep, garanti, ancak, şekilde, rağmen, ürünün, hem, sorun, yaklaşık, ürün, model, ürünü, satın, kapsamında"
1,"klima, servis, montaj, klimayı, bekoklima, klimanın, dış, aldım, montajı, btu, soğutmuyor, gelen, aldığım, gün, servisi"
2,"ürün, teslim, iade, ürünün, ürünü, tarihinde, rağmen, satın, ancak, aldım, talep, gün, tarafıma, dönüş, müşteri"
3,"servis, ürün, aynı, değişim, sürekli, sorunu, sorun, aldım, süpürge, buzdolabı, aldığım, servise, marka, yıl, dan"
4,"servis, ocak, fırın, ankastre, olduğunu, talep, ancak, fırının, fark, şekilde, gelen, cam, set, ediyorum, hatası"
5,"servis, müşteri, kurulum, yetkili, olduğunu, arçelik, ücret, aldım, servisi, gelen, talep, tarihinde, söyledi, ücreti, olmadığını"
6,"makinesi, kurutma, çamaşır, teslim, ürün, aldım, hala, rağmen, bekokurutma, parça, makinesinin, ancak, kahve, dönüş, yedek"
7,"servis, garanti, talep, arıza, rağmen, pos, ancak, ediyorum, aynı, tekrar, ücret, cihazı, yaklaşık, değişimi, sorunu"
8,"makinesi, çamaşır, servis, makine, bulaşık, makinenin, makineyi, bekoçamaşır, sorun, makinem, aynı, sorunu, ses, geldi, marka"
9,"servis, gün, tekrar, geldi, dediler, servisi, söylediler, randevu, gelen, buzdolabı, aradım, yine, saat, dedi, gelip"
