year,id,educ,sex,race,income,natfare,health,satfin
2010.0,3.0,8.0,2.0,2.0,11.0,1.0,3.0,3.0
2010.0,8.0,15.0,2.0,2.0,11.0,3.0,2.0,3.0
2010.0,12.0,13.0,1.0,3.0,12.0,3.0,2.0,3.0
2010.0,13.0,12.0,1.0,2.0,12.0,1.0,1.0,2.0
2010.0,17.0,14.0,2.0,1.0,9.0,3.0,3.0,2.0
2010.0,19.0,12.0,1.0,3.0,12.0,3.0,2.0,3.0
2010.0,32.0,18.0,1.0,1.0,12.0,1.0,2.0,3.0
2010.0,38.0,16.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,47.0,13.0,2.0,1.0,12.0,3.0,4.0,2.0
2010.0,57.0,14.0,2.0,2.0,12.0,1.0,4.0,3.0
2010.0,60.0,16.0,2.0,1.0,12.0,3.0,2.0,3.0
2010.0,66.0,16.0,2.0,1.0,12.0,3.0,1.0,2.0
2010.0,71.0,13.0,1.0,1.0,12.0,2.0,1.0,1.0
2010.0,76.0,16.0,2.0,1.0,12.0,3.0,1.0,3.0
2010.0,78.0,12.0,1.0,1.0,12.0,3.0,2.0,3.0
2010.0,80.0,12.0,2.0,1.0,12.0,3.0,1.0,3.0
2010.0,86.0,16.0,1.0,1.0,12.0,3.0,1.0,2.0
2010.0,89.0,12.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,91.0,8.0,2.0,1.0,12.0,3.0,3.0,2.0
2010.0,95.0,16.0,2.0,2.0,12.0,3.0,2.0,3.0
2010.0,97.0,16.0,1.0,3.0,12.0,3.0,2.0,2.0
2010.0,102.0,11.0,1.0,3.0,2.0,2.0,3.0,2.0
2010.0,106.0,12.0,2.0,1.0,12.0,1.0,3.0,3.0
2010.0,107.0,20.0,1.0,1.0,12.0,1.0,1.0,3.0
2010.0,109.0,16.0,2.0,1.0,12.0,2.0,1.0,1.0
2010.0,110.0,18.0,2.0,1.0,12.0,3.0,1.0,2.0
2010.0,113.0,16.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,115.0,19.0,1.0,1.0,12.0,1.0,1.0,1.0
2010.0,123.0,11.0,1.0,3.0,12.0,3.0,2.0,2.0
2010.0,127.0,13.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,129.0,18.0,1.0,1.0,12.0,2.0,1.0,1.0
2010.0,138.0,12.0,2.0,1.0,12.0,2.0,1.0,2.0
2010.0,140.0,16.0,1.0,3.0,12.0,2.0,3.0,2.0
2010.0,144.0,16.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,149.0,9.0,1.0,1.0,9.0,1.0,2.0,2.0
2010.0,153.0,13.0,1.0,3.0,12.0,3.0,2.0,1.0
2010.0,155.0,6.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,160.0,16.0,1.0,2.0,12.0,1.0,3.0,2.0
2010.0,162.0,12.0,2.0,2.0,12.0,3.0,1.0,3.0
2010.0,167.0,15.0,1.0,1.0,7.0,1.0,2.0,3.0
2010.0,169.0,17.0,1.0,1.0,2.0,1.0,3.0,2.0
2010.0,173.0,14.0,1.0,1.0,12.0,3.0,2.0,3.0
