Urun_Adi_CSV,Urun_Linki,Urun_Adi_Sayfadan,Urun_Puan_Yuzdelik,Anahtar_Etiketler,Yorum_Linkleri,Sikayet_Sayisi
BFC 430,https://www.sikayetvar.com/beko/bfc-430,"Beko
BFC 430",30,"ankastre fır, gün sonu, ankastre, ankastre ocak düğmesi, fırın camı, da çalışmak",,91
BFC 631,https://www.sikayetvar.com/beko/bfc-631,"Beko
BFC 631",28,"bfc 632 b, ankastre fır, kimin, makinesi, fırın ızgara teli, garanti belgesi, karalar",,0
,https://www.sikayetvar.com/beko/bfc-220-hb,,,,,
BFC 321,https://www.sikayetvar.com/beko/bfc-321,"Beko
BFC 321",33,,,21
BFM 310,https://www.sikayetvar.com/beko/bfm-310,"Beko
BFM 310",,"garanti belgesi, ac, bfm 310 b, mağdur, müşteri hizmetleri, ve farkı, ek garanti",,18
BFC 630,https://www.sikayetvar.com/beko/bfc-630,"Beko
BFC 630",33,"garanti süresi, yetkili servis, aparat, ek garanti",,18
BFC 330,https://www.sikayetvar.com/beko/bfc-330,"Beko
BFC 330",25,,,16
AFE 24300,https://www.sikayetvar.com/beko/afe-24300,"Beko
AFE 24300",33,,,11
BFC 431 B,https://www.sikayetvar.com/beko/bfc-431-b,"Beko
BFC 431 B",40,"yetkili servis, ac, değişim talebi, ek garanti, iade talebi, ankastre fır, garanti süresi",,8
OIE 22300 X,https://www.sikayetvar.com/beko/oie-22300-x,"Beko
OIE 22300 X",50,,,7
BFC 431 G,https://www.sikayetvar.com/beko/bfc-431-g,"Beko
BFC 431 G",40,"ankastre fır, mağdur, değişim talebi, yetkili servis, arıza kaydı, ek garanti, fırın çalışmıyor",,6
BFM 430,https://www.sikayetvar.com/beko/bfm-430,"Beko
BFM 430",0,"ek garanti, müşteri hizmetleri, yetkili servis",,4
BFC 210,https://www.sikayetvar.com/beko/bfc-210,"Beko
BFC 210",100,,,4
AFE 21000,https://www.sikayetvar.com/beko/afe-21000,"Beko
AFE 21000",,,,4
BFC 320,https://www.sikayetvar.com/beko/bfc-320,"Beko
BFC 320",,,,2
OIM 23300 X,https://www.sikayetvar.com/beko/oim-23300-x,"Beko
OIM 23300 X",,,,4
BOCD T 6510 E,https://www.sikayetvar.com/beko/bocd-t-6510-e,"Beko
BOCD T 6510 E",25,"ocak düğmesi, ankastre ocak düğmesi, aparat, bde 6062 g, ankastre set üstü ocak",,60
BOCD T 6011 E,https://www.sikayetvar.com/beko/bocd-t-6011-e,"Beko
BOCD T 6011 E",80,"tüketici hakları, cam ocak, randevu oluşturma",,0
,https://www.sikayetvar.com/beko/bocd-k-6510-ewg,,,,,
AFD 14400,https://www.sikayetvar.com/beko/afd-14400,"Beko
AFD 14400",100,,,0
,https://www.sikayetvar.com/beko/bocd-k-6510-ewb,,,,,
AOV 64400 B,https://www.sikayetvar.com/beko/aov-64400-b,,,,,0
,https://www.sikayetvar.com/beko/bomd-d-6110-dwi,,,,,
