Alt_Kategori;Kolon_Adi;Ozellik_Degeri;Frekans
Buzdolabı;Energy_Class;E;46
Buzdolabı;Energy_Class;D;8
Buzdolabı;Energy_Class;C;3
Buzdolabı;Energy_Class;B;1
Buzdolabı;Energy_Class;;1
Buzdolabı;Subcategory;Buzdolabı;59
Buzdolabı;Freezer_Compartment_Technology;;54
Buzdolabı;Freezer_Compartment_Technology;Sabit Set Değerli;5
Buzdolabı;Freezer_Position;Dondurucu Altta;34
Buzdolabı;Freezer_Position;Dondurucu Üstte;17
Buzdolabı;Freezer_Position;;7
Buzdolabı;Freezer_Position;Dondurucu Solda;1
Buzdolabı;Electronic_Display;Electronic display on door – Kapı üzerinde elektronik display (Touch);22
Buzdolabı;Electronic_Display;;20
Buzdolabı;Electronic_Display;Electronic display on door – Kapı üzerinde elektronik display (Tact);9
Buzdolabı;Electronic_Display;Electronic display Inside Body – Gövde içi display (Tact);5
Buzdolabı;Electronic_Display;Electronic display Inside Body – Gövde içi display (Touch);1
Buzdolabı;Electronic_Display;Elektronik İç Ekran;1
Buzdolabı;Electronic_Display;Electronic display on front top trim – Alınlıkta display (Touch);1
Buzdolabı;Control_System;Elektronik;45
Buzdolabı;Control_System;;6
Buzdolabı;Control_System;Mekanik Sensörlü;4
Buzdolabı;Control_System;Mekanik;4
Buzdolabı;Lighting_Type;Tavandan LED aydınlatma;32
Buzdolabı;Lighting_Type;Yan duvarlarda LED aydınlatma;9
Buzdolabı;Lighting_Type;Tavandan parlak LED;6
Buzdolabı;Lighting_Type;;6
Buzdolabı;Lighting_Type;LED;3
Buzdolabı;Lighting_Type;Sol yan duvarda LED aydınlatma;2
Buzdolabı;Lighting_Type;Yan duvardan parlak LED;1
Buzdolabı;Climate_Class;SN-T;51
Buzdolabı;Climate_Class;;6
Buzdolabı;Climate_Class;T;2
Buzdolabı;Noise_Level_Class;C;38
Buzdolabı;Noise_Level_Class;B;15
Buzdolabı;Noise_Level_Class;;6
Buzdolabı;Cooling_System;No Frost;49
Buzdolabı;Cooling_System;;6
Buzdolabı;Cooling_System;Statik;3
Buzdolabı;Cooling_System;Yarı No Frost (Sadece Dondurucu);1
Buzdolabı;Ice_Maker_Type;Kapaklı ve Buz Haneli Buzluk (1 Adet);23
Buzdolabı;Ice_Maker_Type;Kapaklı buzluk;13
Buzdolabı;Ice_Maker_Type;;10
Buzdolabı;Ice_Maker_Type;Standart buzluk;5
Buzdolabı;Ice_Maker_Type;Modüler twist buzluk;5
Buzdolabı;Ice_Maker_Type;Standart;2
Buzdolabı;Ice_Maker_Type;Modüler 2'li twist buzluk;1
Buzdolabı;Freezer_Compartment_Lighting_Type;;33
Buzdolabı;Freezer_Compartment_Lighting_Type;Aydınlatmalı Özel Kapı Tasarımı;13
Buzdolabı;Freezer_Compartment_Lighting_Type;LED;13
Buzdolabı;Product_Type;;31
Buzdolabı;Product_Type;Çift Kapılı;25
Buzdolabı;Product_Type;Tezgah Seviyesi;3
Derin Dondurucu;Energy_Class;E;24
Derin Dondurucu;Energy_Class;D;1
Derin Dondurucu;Subcategory;Derin Dondurucu;25
Derin Dondurucu;Freezer_Compartment_Technology;;18
Derin Dondurucu;Freezer_Compartment_Technology;Joker;6
Derin Dondurucu;Freezer_Compartment_Technology;Multimode;1
Derin Dondurucu;Freezer_Position;Dikey Dondurucu;19
Derin Dondurucu;Freezer_Position;Joker Dondurucu;4
Derin Dondurucu;Freezer_Position;Yatay Dondurucu;2
Derin Dondurucu;Electronic_Display;;6
Derin Dondurucu;Electronic_Display;2 Light & Pot;5
Derin Dondurucu;Electronic_Display;Electronic display on door – Kapı üzerinde elektronik display (Touch);3
Derin Dondurucu;Electronic_Display;Electronic display on front top trim – Alınlıkta display (Tact);3
Derin Dondurucu;Electronic_Display;Electronic display on door – Kapı üzerinde elektronik display (Tact);2
Derin Dondurucu;Electronic_Display;3 Light & Pot;2
