urun_linki,urun_adi,fiyat,teknik_ozellikler
https://www.beko.com.tr/kurutma-makinesi/cmb-1280-ykig-kurutma-makinesi,CMB 1280 YKIG Kurutma Makinesi,48.479 TL,"{""65 cm"": ""Derinlik"", ""60 cm"": ""Genişlik"", ""85 cm"": ""Yükseklik"", ""Ağırlık: Paketsiz"": ""78 kg"", ""Boyut (cm) (GxYxD)"": ""60 cm"", ""Derinlik"": ""65 cm"", ""Bağlantı"": ""Wi-Fi"", ""Yıka-kurut çevriminde ağırlıklı su tüketimi (W_wd) (L/cycle) (EU_2021_EP)"": ""78 L"", ""Eco 40-60 programında sıkma sırasındaki ses gücü sınıfı (EU_2021_EP) (WD)"": ""C""}"
https://www.beko.com.tr/kurutmali-camasir-makinesi/cmx-1070-yk-i-kurutmali-camasir-makinesi,CMX 1070 YK I Kurutmalı Çamaşır Makinesi,43.349 TL,"{""Yıka-kurut çeviriminde enerji verimlilik sınıfı (EU_2021_EP)"": ""D"", ""Kapasite"": ""10 kg"", ""Kurutma Kapasitesi"": ""7 kg"", ""60 cm"": ""Genişlik"", ""85 cm"": ""Yükseklik"", ""Gösterge Tipi"": ""Dijital Ekran"", ""Program Takip Göstergesi"": ""Var"", ""Zaman Programlama"": ""Var"", ""Kalan Zaman Göstergesi"": ""Var"", ""Dengesiz Yük Kontrolü"": ""Var"", ""Taşma Emniyeti"": ""Var"", ""Çocuk Kilidi"": ""Var"", ""Kurutma Teknolojisi"": ""Su Yoğuşturmalı"", ""Deterjan Sistemi"": ""Var"", ""Buhar"": ""Buhar"", ""Tambur Deseni"": ""Özel Tasarım Tambur"", ""Elektronik Su Kontrol Sistemi"": ""Var"", ""Program Sayısı"": ""15"", ""Program-1"": ""Pamuklu"", ""Program-2"": ""Eco 40-60"", ""Program-3"": ""Sentetik"", ""Program-4"": ""Ekspres / Ekspres 14'"", ""Program-5"": ""Delicates/Wool/HandWash"", ""Program-6"": ""Gömlek"", ""Program-7"": ""Spin + Drain"", ""Program-8"": ""Durulama"", ""Program-9"": ""Pamuklu Kurutma"", ""Program-10"": ""Sentetik Kurutma"", ""Program-11"": ""7 Kg Wash & Dry"", ""Program-12"": ""Antialerjik+"", ""Program-13"": ""Wash&Wear"", ""program-14"": ""Hygiene Therapy"", ""Program-15"": ""ColdWash"", ""Ürün Serisi"": ""bPRO 500"", ""Maksimum Sıkma Devri"": ""1200"", ""Su Girişi"": ""Tek (Soğuk)"", ""Ürün Rengi"": ""Beyaz"", ""Ürün Tipi"": ""Solo"", ""Ağırlık: Paketsiz"": ""71 kg"", ""Boyut (cm) (GxYxD)"": ""60 cm"", ""Derinlik"": ""60 cm"", ""Yıkama Performansı"": ""A""}"
https://www.beko.com.tr/set-ustu-ocak/bsoe-301-b-set-ustu-ocak,BSOE 301 B Set Üstü Ocak,5.370 TL,"{""Ocak Tipi Ve Göz Sayısı"": ""2 Gözü Elektrikli"", ""Ocak Yüzeyi"": ""Metal"", ""Ürün Rengi"": ""Beyaz"", ""Genişlik"": ""30 cm"", ""26 cm"": ""Derinlik"", ""48 cm"": ""Genişlik"", ""8 cm"": ""Yükseklik"", ""Ocak Tipi"": ""Elektrikli Ocak"", ""Ürün Tipi"": ""Solo"", ""Ağırlık: Paketsiz"": ""7.86 kg"", ""Derinlik"": ""26 cm"", ""Boyut (cm) (GxYxD)"": ""47.5 cm"", ""Kontrol Tipi ve Yeri"": ""Düğmeden Kontrol / Ön"", ""Sol Bölme"": ""Ø180mm - 1500W""}"
https://www.beko.com.tr/mikrodalga-firin/bmd-310-ds-mikrodalga-firin,BMD 310 DS Mikrodalga Fırın,11.217 TL,"{""Mikrodalga Kontrol Paneli"": ""Elektronik"", ""Mikrodalga Çıkış Gücü"": ""900 W"", ""Ürün Rengi"": ""Gümüş"", ""Ürün Tipi"": ""Solo"", ""Mikrodalga Hacmi"": ""30"", ""38 cm"": ""Derinlik"", ""51 cm"": ""Genişlik"", ""30 cm"": ""Yükseklik"", ""Ağırlık: Paketsiz"": ""14.5 kg"", ""Boyut (cm) (GxYxD)"": ""51 cm"", ""Derinlik"": ""38.2 cm"", ""Mikrodalga Fırın Türü"": ""Mikrodalga"", ""Zamanlayıcı Tipi"": ""Mekanik"", ""Döner Tabla"": ""Var"", ""Kapak Açma Mekanizma Tipi"": ""Yana Açılan - Düğme ile""}"
https://www.beko.com.tr/su-sebili/5550-bu-su-sebili,5550 BU Su Sebili,10.349 TL,"{""Damacana Yeri"": ""Üstten Yüklemeli"", ""Ürün Rengi"": ""Beyaz"", ""Musluk"": ""Soğuk - Sıcak"", ""Ürün Tipi"": ""Tam Boy Su Pınarı"", ""Tank Materyali"": ""Paslanmaz Çelik"", ""32 cm"": ""Derinlik"", ""31 cm"": ""Genişlik"", ""93 cm"": ""Yükseklik"", ""Soğuk su tank kapasitesi (L)"": ""3 L"", ""Soğuk Su Derecesi Aralığı"": ""≤10 C"", ""Sıcak su tank kapasitesi (L)"": ""1.1 L"", ""Sıcak Su Derecesi Aralığı"": ""80-90"", ""Soğutma Kapasitesi (lt/saat)"": ""2 L/h"", ""Isıtma Kapasitesi (ml)"": ""4 L/h"", ""Ağırlık: Paketsiz"": ""11.2 kg"", ""Boyut (cm) (GxYxD)"": ""31 cm"", ""Derinlik"": ""32 cm"", ""Kontrol Sistemi Tipi"": ""Mekanik"", ""Adaptör Damacana Kapağı"": ""Var""}"
https://www.beko.com.tr/beyaz-esya-yedek-parca-ve-aksesuarlari/55mm-kapi-rafi-70cm-baskisiz-sef-gri-286-beyaz-esya-yedek-parca-ve-aksesuarlari,Kapı Rafı Gri 70 cm Beyaz Eşya Yedek Parça ve Aksesuarları,260 TL,{}
https://www.beko.com.tr/beyaz-esya-yedek-parca-ve-aksesuarlari/arcelik-yeni-yumurtalik-sef286-demode-beyaz-esya-yedek-parca-ve-aksesuarlari,Yumuttalık Şeffaf Beyaz Eşya Yedek Parça ve Aksesuarları,260 TL,{}
https://www.beko.com.tr/beyaz-esya-yedek-parca-ve-aksesuarlari/mikrofiltre-gr-alt-0-ral-7037-beyaz-esya-yedek-parca-ve-aksesuarlari,Mikrofiltre Grubu Beyaz Eşya Yedek Parça ve Aksesuarları,525 TL,{}
https://www.beko.com.tr/beyaz-esya-yedek-parca-ve-aksesuarlari/mikrofiltre-gr-3ringsizral-7037-beyaz-esya-yedek-parca-ve-aksesuarlari,Mikrofiltre Grubu Ringsiz Beyaz Eşya Yedek Parça ve Aksesuarları,525 TL,{}
https://www.beko.com.tr/beyaz-esya-yedek-parca-ve-aksesuarlari/cekmece-kapak-gr-194mm-sef-gri286-sekil-beyaz-esya-yedek-parca-ve-aksesuarlari,Çekmece Kapak Grubu Şeffaf Beyaz Eşya Yedek Parça ve Aksesuarları,350 TL,{}
