urun_linki,urun_adi,fiyat,teknik_ozellikler,enerji_sinifi,favori_sayisi,yorum_sayisi,renk_secenekleri,urun_ozellikleri,yorumlar
https://www.beko.com.tr/cay-makinesi/cm-2626-ic-cay-makinesi,CM 2626 IC Çay Makinesi,3.749 TL,"{""Güç"": ""1650 W"", ""Demlik Kapasitesi"": ""0.7 L"", ""Su Isıtıcı Kapasitesi"": ""1.7 L"", ""Demlik Malzemesi"": ""Cam"", ""Ürün Rengi"": ""Gri"", ""Su Isıtıcı Malzemesi"": ""İnoks"", ""İkili Isıtma Sistemi"": ""Var"", ""Otomatik Kapanma"": ""Var"", ""Sıcak Tutma Özelliği"": ""Var"", ""Ağırlık: Paketsiz"": ""1.75 kg"", ""Boyut (cm) (GxYxD)"": ""21.5 cm"", ""Derinlik"": ""14.5 cm"", ""360° Dönebilen Kablosuz Kullanım"": ""Var"", ""Işıklı Açma/Kapama Düğmesi"": ""Var""}",,11,yorum,[],"{""Demlik Kapasitesi"": ""0.7 L"", ""Demlik Malzemesi"": ""Cam"", ""Su Isıtıcı Kapasitesi"": ""1.7 L"", ""Su Isıtıcı Malzemesi"": ""İnoks""}",[]
https://www.beko.com.tr/cay-makinesi/cm-5582-i-cay-makinesi,CM 5582 I Çay Makinesi,4.899 TL,"{""Güç"": ""1650 W"", ""Demlik Kapasitesi"": ""1.2 L"", ""Su Isıtıcı Kapasitesi"": ""1.7 L"", ""Demlik Malzemesi"": ""Paslanmaz Çelik"", ""Ürün Rengi"": ""İnoks"", ""Su Isıtıcı Malzemesi"": ""İnoks"", ""İkili Isıtma Sistemi"": ""Var"", ""Otomatik Kapanma"": ""Var"", ""Sıcak Tutma Özelliği"": ""Var"", ""Ağırlık: Paketsiz"": ""1.75 kg"", ""Boyut (cm) (GxYxD)"": ""21.5 cm"", ""Derinlik"": ""14.5 cm"", ""360° Dönebilen Kablosuz Kullanım"": ""Var"", ""Işıklı Açma/Kapama Düğmesi"": ""Var""}",,51,yorum,[],"{""Demlik Kapasitesi"": ""1.2 L"", ""Demlik Malzemesi"": ""Paslanmaz Çelik"", ""Su Isıtıcı Kapasitesi"": ""1.7 L"", ""Su Isıtıcı Malzemesi"": ""İnoks""}",[]
https://www.beko.com.tr/cay-makinesi/cm-5964-w-floral-cay-makinesi,CM 5964 W Floral Çay Makinesi,6.399 TL,"{""Kırılmaya Karşı Dayanıklı Cam Demlik"": ""Var"", ""Güç"": ""1900 W"", ""Demlik Kapasitesi"": ""0.8 L"", ""Su Isıtıcı Kapasitesi"": ""2 L"", ""Demlik Malzemesi"": ""Kırılmaya Karşı 4 Kata Kadar Dayanıklılığı Arttırılmış Cam"", ""Ürün Rengi"": ""Mor"", ""Su Isıtıcı Malzemesi"": ""Cam"", ""İkili Isıtma Sistemi"": ""Var"", ""Su Seviye Göstergesi"": ""Var"", ""Otomatik Kapanma"": ""Var"", ""Sıcak Tutma Özelliği"": ""Var"", ""Çay Filtresi"": ""Paslanmaz Çelik"", ""Ağırlık: Paketsiz"": ""1.669 kg"", ""Boyut (cm) (GxYxD)"": ""24 cm"", ""Derinlik"": ""17 cm"", ""360° Dönebilen Kablosuz Kullanım"": ""Var"", ""Işıklı Açma/Kapama Düğmesi"": ""Var""}",,14,yorum,"[""Mor"", ""Pembe"", ""Beyaz""]","{""Demlik Kapasitesi"": ""0.8 L"", ""Demlik Malzemesi"": ""Kırılmaya Karşı 4 Kata Kadar Dayanıklılığı Arttırılmış Cam"", ""Su Isıtıcı Kapasitesi"": ""2 L"", ""Su Isıtıcı Malzemesi"": ""Cam""}",[]
https://www.beko.com.tr/semaver/se-8034-semaver,SE 8034 Semaver,6.849 TL,"{""Güç"": ""2000 W"", ""Demlik Kapasitesi"": ""1.2 L"", ""Su Isıtıcı Kapasitesi"": ""3.5 L"", ""Su Isıstıcı Olarak Kullanma"": ""Var"", ""Susuz Çalışmaya Karşıma Koruma Sistemi"": ""Var"", ""Demlik Malzemesi"": ""Cam"", ""Ürün Rengi"": ""Beyaz"", ""Su Isıtıcı Malzemesi"": ""Plastik"", ""İkili Isıtma Sistemi"": ""Var"", ""Su Seviye Göstergesi"": ""Var"", ""Otomatik Kapanma"": ""Var"", ""Musluk"": ""Var"", ""Sıcak Tutma Özelliği"": ""Var"", ""Rezistans Tipi"": ""Gizli"", ""Ağırlık: Paketsiz"": ""2.37 kg"", ""Boyut (cm) (GxYxD)"": ""24.5 cm"", ""Derinlik"": ""24.5 cm""}",,12,yorum,[],"{""Su Isıtıcı Kapasitesi"": ""3.5 L"", ""Güç"": ""2000 W"", ""Demlik Kapasitesi"": ""1.2 L"", ""Demlik Malzemesi"": ""Cam"", ""Ürün Rengi"": ""Beyaz""}",[]
https://www.beko.com.tr/semaver/se-8036-i-semaver,SE 8036 I Semaver,10.459 TL,"{""Güç"": ""2200 W"", ""Demlik Kapasitesi"": ""1.2 L"", ""Su Isıtıcı Kapasitesi"": ""3.5 L"", ""Kablo Sarma Yuvası"": ""Var"", ""Çay Filtresi"": ""Paslanmaz Çelik"", ""Susuz Çalışmaya Karşıma Koruma Sistemi"": ""Var"", ""Demlik Malzemesi"": ""Kırılmaya Karşı 4 Kata Kadar Dayanıklılığı Arttırılmış Cam"", ""Ürün Rengi"": ""İnoks"", ""Su Isıtıcı Malzemesi"": ""Paslanmaz Çelik"", ""Su Seviye Göstergesi"": ""Var"", ""Otomatik Kapanma"": ""Var"", ""Musluk"": ""Var"", ""Sıcak Tutma Özelliği"": ""Var"", ""Rezistans Tipi"": ""Gizli"", ""Ağırlık: Paketsiz"": ""2.85 kg"", ""Boyut (cm) (GxYxD)"": ""28 cm"", ""Derinlik"": ""28 cm""}",,29,yorum,[],"{""Su Isıtıcı Kapasitesi"": ""3.5 L"", ""Güç"": ""2200 W"", ""Demlik Kapasitesi"": ""1.2 L"", ""Demlik Malzemesi"": ""Kırılmaya Karşı 4 Kata Kadar Dayanıklılığı Arttırılmış Cam"", ""Ürün Rengi"": ""İnoks""}",[]
https://www.beko.com.tr/buz-makinesi/bym-6111-i-buz-makinesi,BYM 6111 I Buz Makinesi,8.349 TL,"{""28 cm"": ""Derinlik"", ""24 cm"": ""Genişlik"", ""29 cm"": ""Yükseklik""}",,16,yorum,[],{},[]
https://www.beko.com.tr/kucuk-ev-aletleri-yedek-parca-ve-aksesuarlari/cezve-grubu-mat-fircali-kucuk-ev-aletleri-yedek-parca-ve-aksesuarlari,Cezve Grubu İndüksiyonlu Küçük Ev Aletleri Yedek Parça ve Aksesuarları,850 TL,{},,0,yorum,[],{},[]
https://www.beko.com.tr/kucuk-ev-aletleri-yedek-parca-ve-aksesuarlari/karaf-grubu-arcelik-kucuk-ev-aletleri-yedek-parca-ve-aksesuarlari,Cam Demlik Grubu Kapaklı Küçük Ev Aletleri Yedek Parça ve Aksesuarları,1.300 TL,{},,0,yorum,[],{},[]
https://www.beko.com.tr/kucuk-ev-aletleri-yedek-parca-ve-aksesuarlari/pisirme-haznesi-grubu-akromid-gri-kucuk-ev-aletleri-yedek-parca-ve-aksesuarlari,Cezve Grubu Akromid Gri Küçük Ev Aletleri Yedek Parça ve Aksesuarları,650 TL,{},,0,yorum,[],{},[]
https://www.beko.com.tr/kucuk-ev-aletleri-yedek-parca-ve-aksesuarlari/su-deposu-kapagi-kucuk-ev-aletleri-yedek-parca-ve-aksesuarlari,SU DEPOSU KAPAGI Küçük Ev Aletleri Yedek Parça ve Aksesuarları,220 TL,{},,0,yorum,[],{},[]
